CODE,ID,NAME,Unit,Description
acct,407,analytics and control,3,"this is the final course in the department of accountancy's analytics sequence.  the course is designed to further students' skills in making informed decisions when faced with unfamiliar data sets.  we hone the ability to use the tools of average, variance, correlation, sampling, and hypothesis to reduce uncertainty.  upon course completion, students will be able to analyze data that help organizations accomplish desired goals.  we prioritize development of critical thinking skills over the ability to use software to perform statistical calculations.  we seek to be approximately right rather than precisely wrong.
prereq:"
acct,414,corporate reporting and analysis,3,"this course provides a basis for evaluation of traditional and proposed uses of report and information for decision making in investment, credit and internal planning and control. students are introduced to concepts and analytical techniques that can be used to critique and interpret the financial health of the organization. at a practical and theoretical level, the course integrates research in the areas of accounting, quantitative methods and finance which has proved useful in the financial analysis of organizations.
prereq:"
acct,431,"tax practice: analysis, planning and communications",3,"this course concentrates  on teaching the identification of key u.s. tax issues, the analysis of fundamental tax concepts and the underlying interpretation and application of tax law through the use of appropriate authoritative sources.  both oral and written communication will be utilized to present tax planning research results.  actual court cases will be used as the basis for simulating practical client scenarios.
prereq:"
acct,444,advanced auditing theory and practice,3,"this course examines auditing concepts and issues in depth. a special focus exists on audit evidence and how auditors make decisions. some topic areas include ethics, analytical review, fraud, and the role of technology.
prereq:"
acct,501,special problems and topics,0 - 18,"this course is offered, with permission, to students undertaking reading in a field of special interest."
acct,520,advanced accounting theory,3,"this seminar studies contemporary issues in financial accounting theory and business reporting. topics are considered from their historical development to contemporary circumstances. academic and professional literatures are employed to gain a variety of perspectives on current matters. the development of communication skills, written and verbal, and use of support technology for presentations is emphasized throughout. students are required to make several individual and team presentations, to conduct database and periodical research and to provide frequent written and oral research reports.
prereq: macc students only and"
acct,540,corporate governance and contemporary accounting policy,3,"the sarbanes-oxley act (sox), passed in the wake of a series of corporate accounting scandals including enron and worldcom, was designed to strengthen corporate governance processes for all us publicly traded companies with an aim of ""protecting investors by improving the accuracy and reliability of corporate disclosures.""  the contemporary implications of sox for the accounting profession are immense.  students must understand these implications to successfully navigate the world of public company financial reporting.  one implication is the role sox gave to corporate board audit committees to oversee the independent auditors charged with auditing public company financial statements.  this requires a fundamental understanding of corporate boards including why they exist and what are their more general responsibilities.  another implication is the establishment of the public company accounting oversight board (pcaob) to regulate the accounting profession.  thus, this seminar examines broad issues surrounding corporate governance including governance of public companies including investment companies, with strong contemporary connections to the accounting profession, including professional ethics, independence and quality control.
prereq: macc students only,"
acct,601,special problems and topics,1 - 18,"this course is offered, with permission, to ph.d. candidates undertaking reading in a field of special interest."
acct,701,dissertation ph,d,"(credit as arranged.)
prereq: predoctoral research consent or advanced to ph.d. candidacy milestone."
emba,417,teams,0,"this course enables the formation of e.m.b.a. study groups and classroom learning environment by introducing participants to their adult learning styles, models of group decision-making, theories of team development and rules of engagement for effective learning teams.
prereq: e.m.b.a. students only."
emba,430,"health informatics, analytics & decision making",2,"increasingly in today's healthcare environment, those aspiring to succeed in leadership positions are expected to know and do more than their primary discipline traditionally required. they are also expected to transform their organizations - whether they are departments or ids's - to a higher state of quality, effectiveness, efficiency and competitiveness. to meet this expectation they must be able to harness the interrelated power of information, analytics and decision support to plan, evaluate, improve, and control their organization.
this course is for executives in health care delivery, health planning, regulatory, or accrediting organizations who will be involved with, be responsible for, or oversee: the use and/or management of health or organizational information, and analytic and decision processes; the improvement / innovation of their organization's operations and decision processes; and/or the design, acquisition, implementation, and/or evaluation of health information technologies (hit).
the course is intended to develop competence and confidence in the participant's ability to understand and manage the complex information, analytics and decision environment.
prereq: e.m.b.a. candidates only."
emba,436,accounting for business executives,2,"this course is an introduction to financial and managerial accounting, rather than a course in introductory accounting.  this course is designed for the business professional and is intended to prepare the student to use the information prepared by accountants.  it will not dwell in detail on the technical aspects of accounting or bookkeeping.  in addition, this course is designed to help the student become an effective user of cost information, from the perspective of parties internal to the firm.  this aspect of accounting is a compilation of techniques rather than a set of rules.  since the information is for private use, the goal is to create the most meaningful and useful data for use by managers.  assignments will be designed to develop the student's ability to analyze and interpret accounting data and to more effectively utilize accounting data in day to day business decisions.  finally, this course is intended to strengthen abilities to identify problems and opportunities, to search out and analyze desired information leading to a well-reasoned conclusion, and to perform sensitivity analysis around that conclusion, using financial information.
prereq: e.m.b.a. candidates only."
emba,437,economic analysis for managers,2,"this course, which is limited to students in the executive m.b.a. program, explores the basic elements of the economic system which the executive needs to know in order to understand how the firm interacts with the system and how economic factors affect decision making.
prereq: e.m.b.a. candidates only."
emba,438a,business statistics and quantitative analysis,1,"in this course, students study the use of modern quantitative and business statistics to support the executive decision-making process.  with the help of computer software, the models examined assist in describing and analyzing problems and suggesting possible managerial actions.  the techniques discussed include tools for decision making under uncertainty including regression analysis.  this course is part of a two (2) course sequence.
prereq: e.m.b.a. candidates only."
emba,438b,business statistics and quantitative analysis,1,"in this course, students study the use of modern quantitative and business statistics to support the executive decision-making process.  with the help of computer software, the models examined assist in describing and analyzing problems and suggesting possible managerial actions.  the techniques discussed include tools for decision making under uncertainty including regression analysis.   this course is part of a two (2) course sequence.
prereq:"
emba,439,corporate finance,2,"the central organizing principle of this course is to familiarize the class with the basics of valuation.  this first course in finance introduces the tools and methods employed in valuation of projects and corporate securities.  valuation involves the determination of (i) cash flows of the firm, project or financial assets and (ii) the discount rates that are used to compute the present values of the cash flows.  asset pricing models provide the underpinnings for the development of the discount rates.  the material is synthesized in capital budgeting exercises which are cost-benefit analyses of capital project cash flows to evaluate whether they are value enhancing.
prereq: e.m.b.a. candidates only."
emba,441,leading change: self,2,"the primary objective of leading change: self is to learn a method for assessing your knowledge, abilities, values, and interests relevant to leadership and executive management so that you will be able to develop and implement a plan for enhancing your leadership and executive capability throughout your career and life. the enabling objectives are: (a) to systematically identify your current and desired capability (i.e., knowledge, abilities, values, and interests); (b) to develop an individualized learning agenda and plan for the next 3-5 years; and (c) to explore techniques to assist others in doing the same.

this course will explore questions, such as: who are effective leaders? how are they different than mangers? how do they think and act? what makes us want to follow them? how are leaders developed? how can people help others become effective leaders? what type of leader do i want to be? and, what can i do to become that type of leader?
prereq: e.m.b.a. candidates only."
emba,442,innovation,2,"organizations are under continuous pressure to be efficient and productive in order to generate (often short-term) profit. at the same time they must innovate to remain competitive in the long-term. innovation involves the generation, development, and delivery of new products, processes, or businesses. intrapreneurs are those who can successfully bring new ideas to fruition in established organizations. innovation in the context of an established organization requires that intrapreneurs fundamentally understand the dynamics of innovation and innovation management. this course introduces fundamental concepts associated with innovation in the context of an established organization.
prereq: e.m.b.a. candidates only."
emba,443,supply chain management,2,"operations managers, ranging from supervisors to vice presidents, are concerned with the production of goods and services.  more specifically, they are responsible for designing, running, controlling and improving the systems that accomplish production.  this course is a broad-spectrum course with emphasis on techniques and information that are helpful to the practice of management in general and at any level.

we will discuss commonly occurring application problems such as process analysis, inventory control, quality management, just-in-time concepts, etc.  the field of operations management was originally concerned with manufacturing systems.  but many of the same ideas apply, and the same trade-offs are present, in service organizations like health care, insurance, hotel-management, airlines and government related operations.  several manufacturing and non-manufacturing environments will be discussed explicitly, and the emphasis will be on the fundamentals of the operations function in an organization.  also we will explore the interface of operations management with other functional areas such as marketing, finance, accounting, etc.
prereq: e.m.b.a. candidates only."
emba,445,expanding boundaries,2,"this course will help you understand the keys to successful corporate development-competitive advantage in every business in which a firm is involved.  in particular, the course will help the participants to understand the following:
-corporate development strategy through capabilities and leveragable capabilities
-before venturing into a new business, the firm has to have a clear understanding of the critical capabilities required for success in the new business.
-firms can increase the odds of success if they can leverage  (parts of ) existing capabilities to new businesses.
-corporate development strategies-adapting to a market
-analyze the industry environment in order to select the competitive battlefield to increase the odds of success by leveraging some of your existing capabilities - sometimes also known as core competencies.  this is a relatively low risk strategy.  we will develop methodologies that will allow you to identify markets (segments) where your current capabilities are leveragable.
-shaping a market usually requires developing a completely new set of capabilities - very risky.  we will develop concepts to understand techniques to mitigate these risks.
-acquisitions as one of the means for corporate development
-approximately half of the class sessions will be devoted to the specific case of acquisitions as a means to expand the boundaries of a firm.  we will explore both how acquisitions contribute to competitive advantage and the selection process and integration of the acquired entity.  less emphasis will be placed on strict financial valuations and negotiations.
prereq: e.m.b.a. candidates only."
emba,446,managing risk and real options,2,"the course seeks to help corporate managers understand how financial design can be used to advance the goals and strategies of the firm.  in the finance course, you concentrated almost exclusively on the firm's capital expenditure decision.  you studied in great detail the discounted cash flow model, npv, how you get your cash flows, and how you discount according to risk.  now we move to the other side of the balance sheet to look at how the firm can finance these expenditures.  the first part of this class provides the basic building blocks of financial engineering which begins with call and put options.  the course focuses on using derivatives (calls and puts) to change a firm's risk profile with respect to equity, interest rate, foreign exchange, credit, and commodity risks.  we look at capital structure decisions and securitization issues and discuss what it means to create optimal structures.  almost immediately we will tie this to our financial crisis and obtain an appreciation for financial designs that could be setup so as to enhance firm value, mitigate systemic risks, or accomplish specific sustainable goals in a global economy.  the second part of the class is geared towards real options and its relationship to strategic planning. in competitive markets, no one expects to formulate a detailed long-term plan and follow it mindlessly.  as soon as we start down the path, we begin learning about business conditions, competitors' actions, and so forth and we need to respond flexibly to what we learn.  unfortunately, the financial tool most widely relied on to estimate the value of strategy, dcf, assumes that we follow a predetermined plan, regardless of how events unfold.  a better approach to valuation would incorporate both the uncertainty inherent in business and the active decision making required for strategy to succeed.
prereq: e.m.b.a. candidates only."
emba,449,contemporary issues in management,2,"this course is intended to address the contemporary issues in management to be decided by faculty and student interest.  with the current global economic crisis, this year the course will focus on international finance and economics.  in subsequent years, the topics will evolve as the global business climate changes.
prereq: e.m.b.a. candidates only."
emba,450,managerial marketing,2,"this course is designed with three overarching objectives. the first is an emphasis on decision making in a broad range of market contexts. the second objective builds on the notion that decision making is dynamic; that is, market situations demand not just one good decision but a series of them as a situation unfolds (providing new and varied information for each subsequent decision). integrating concepts from a number of the courses that you are taking concurrently into decision-making about markets is a final objective.
prereq: e.m.b.a. candidates only."
emba,451,business model design,2,"in most companies the process of designing business models is an ad hoc process and in my opinion an inefficient process.  in this course you will learn a systematic but iterative process to do this.  we will expose you to some broad categories of business models and internalize the basic logic of how to make money in each of these categories.  the first step is to recognize which of these categories is most applicable to your business.  the second step is to customize these broad patterns to the specifics of the business at hand.  this seems easy because everything is in english and there are no hard formulas to figure out.  however, unless you discipline yourself to systematically go through a structured process (there are other equally valid processes than the ones you'll be exposed to) it is very easy to fall into the ad hoc trap.

you will internalize this process by applying it over a wide range of business situations that will give you confidence in its applicability to any business opportunity.  after the completion of this course you should be quickly able to draw the outline of a business model for any business opportunity that you're considering.
prereq: e.m.b.a. candidates only."
emba,458,healthcare financial management,2,"this course will consider basic financial concepts, techniques, and strategies for institutions and companies in the u.s. health care delivery system.  note that this may differ from the influences one would find in a different country since the payment system and ownership structures vary widely around the world.  these basics include relevant factors in the economic, medical, and financial environment that shape an intelligent financial decision.  therefore, although the course is directed towards financial management decisions in health delivery organizations, it may also be useful for those who supply the industry (equipment, drugs and services), purchase services from it (employers, third party administrators, health plans) or finance these (insurance, banking, investors).  public policy and the structure of the industry also play an important role in the course.  however, the general approach is from the point of view of a decision-maker in a health care organizational setting dealing with issues with important economic or financial dimensions.
prereq: e.m.b.a. candidates only."
emba,459,health economics and strategy,2,"the central goal of this course is for students to master essential economic concepts and their application to critical issues in the u.s. healthcare economy.  after taking this course, students should be able to:

1. understand basic microeconomic theory as it applies to firm and consumer behavior in healthcare and health insurance markets.

2. understand the role of market forces (including market failures) and public policy in determining the price and allocation of medical services.

3. understand the underlying causes of ""changing market conditions"" and the challenges and opportunities they create for healthcare organizations.

4. converse fluently and accurately about the economic forces at play in the healthcare economy.
prereq: e.m.b.a. candidates only."
emba,464,legal environment,2,"this course provides a brief overview of the legal system that managers face, with an emphasis on contracts, corporate law, property rights and the modern regulatory apparatus of government.  contracts include full coverage of the uniform commercial code.  corporate law is the capstone of the consideration of other forms of business organizations such as partnerships.  regulatory areas include employment law and environmental law.  property coverage includes modern struggles over intellectual ownership claims (patents, copyrights, etc.).
prereq: e.m.b.a. candidates only."
emba,472,leading change: the organization,2,"participants in this course will be challenged to enhance their leadership capacity by assessing and analyzing the knowledge, abilities, values and interests relevant to executives.  the course will also explore the art of reading and understanding organizations in ways that help us imagine, design, and develop organization excellence.
prereq: e.m.b.a. candidates only."
emba,473,leading change: teams,2,"sustainability of effective leadership is necessary for adaptive, resilient organizations and for the health and functioning of the leader.  chronic stress results in diminished cognitive functioning, as well as poor health and a contagion of negative mood in organizations.  the latest advances in social neuroscience and endocrinology will be used to develop an understanding how someone in a leadership position can renew themselves and mitigate the ravages of chronic stress.  the short course will focus on how to coach others toward renewal and sustainability.
prereq: e.m.b.a. candidates only."
emba,475,managing in a global economy,3,"this course is designed to present first-hand issues in international management.  it accomplishes this by means of readings, a written assignment and, most importantly, an international trip designed to witness different management cultures, styles and environments for business in the international community.  faculty responsibility rests with the faculty director of the e.m.b.a. program as well as a ""resident -faculty"" specific to each field trip.  such faculty are drawn from the weatherhead community and vary by the design and destination of the trip.  in addition, the course is staffed by an administrative assistant from the complement of dively cmdr staff.  occasionally and where appropriate, there is also ""in-tourist"" assistance in some of our foreign locations
prereq: e.m.b.a. candidates only."
emba,476,corporate governance and dialogues in healthcare,2,"the course incorporates insights from leaders in a number of dialogue sessions and is grounded in the following themes: 
-the role of the board of directors; 
-leadership in healthcare organizations;
-the ceo relationship to the firm's principal stakeholders (shareholders, board of directors, employees, customers) and the ceo's responsibility to give back (time and money) to the community; 
-ceo role in developing and maintaining the organization's vision, values and corporate culture.
prereq: e.m.b.a. candidates only."
emba,478a,leading design in organization,1,"this course explores the ideas and methods of design as a new approach to management practices that is well suited to the changing environment that organizations face in contemporary culture and the emerging economic environment in the united states and abroad.  it is a studio course as well as a seminar, because it is designed around a project that each student brings to the emba program, a project that is grounded in the issues and operations of the student's organization or in the kind of organization that the student wishes to explore.  in addition to the yearlong project, the course will also include important readings in management and organizational literature that are relevant to the new direction of strategic thinking.  finally, the course will draw on the expertise of other faculty at the weatherhead school of management who will be called upon to share their practical expertise and theoretical knowledge in the development and execution of the student's management design project, whether in the area of vision and strategy, new product development of goods and services, operations, organizational design and configuration, or related topics.  this is the first part of a two semester course.
prereq: e.m.b.a. candidates only."
emba,478b,leading design in organizations,1,"this course explores the ideas and methods of design as a new approach to management practices that is well suited to the changing environment that organizations face in contemporary culture and the emerging economic environment in the united states and abroad.  it is a studio course as well as a seminar, because it is designed around a project that each student brings to the emba program, a project that is grounded in the issues and operations of the student's organization or in the kind of organization that the student wishes to explore.  in addition to the yearlong project, the course will also include important readings in management and organizational literature that are relevant to the new direction of strategic thinking.  finally, the course will draw on the expertise of other faculty at the weatherhead school of management who will be called upon to share their practical expertise and theoretical knowledge in the development and execution of the student's management design project, whether in the area of vision and strategy, new product development of goods and services, operations, organizational design and configuration, or related topics.  this is the second part of a two semester course.
prereq: e.m.b.a. candidates only."
emba,479,leading change: society,2,"this course explores a proposition: that business, the motor of our society has the opportunity to be a new creative force on the planet, a force that could contribute to the well being of many.  our exploration and search is for ""business as an agent of world benefit"" and the questions are many: what does it look like, where is it happening, what are the market, societal and leadership enablers, and what are the results?
prereq: e.m.b.a. candidates only."
epom,400,leadership and interpersonal skills,3,"this course is designed as an experience based process to increase understanding of communication, emotional intelligence and behavioral based communication needs in the work environment.  to increase understanding, students will learn to recognize, manage and leverage these in business relationships as well as in team and group processes to develop effective leadership style.
students will work in teams to examine the topics from the perspective of team members and leaders and will formulate strategies to reach desired goals or outcomes."
epom,400c,engineering professionalism: professional development,1,"the goals of the course are to help students learn methods for assessing their knowledge, abilities, and values relevant to their engineering careers, and for acquiring new professional knowledge and skills throughout their career. students will initially assess their own values, personality style, and organizational competencies. after learning about emotional intelligence at work, each student will solicit and receive feedback from people at different levels in their organization about their work effectiveness."
epom,401,introduction to business for engineers,3,"this course provides an introduction to the business environment for practicing engineers. the course emphasizes the interplay between business and engineering in the context of the competitive marketplace (economics), how engineering proposals are evaluated (finance), the relationship between product and customer (marketing), making effective use of micro-disciplinary teams (organizational behavior), and the manufacturing and production process (operations)."
epom,403,product and process design and implementation,3,"the course is taught through a series of lectures, class discussions, group projects and case studies.  the course aim is to provide a solid understanding of the many aspects of the engineering design process and the management of technology.  the course focuses on the engineering and management activities used to develop and bring to market new products and processes.  the first part of the course focuses on the techniques used to develop new ideas, the second part focuses on the management of technology and innovation. recommended preparation:"
epom,405,applied engineering statistics,3,"in this course a combination of lectures, demonstrations, case studies, and individual and group computer problems provides an intensive introduction to fundamental concepts, applications and the practice of contemporary engineering statistics.  each topic is introduced through realistic sample problems to be solved first by using standard spreadsheet programs and then using more sophisticated software packages.  primary attention is given to teaching the fundamental concepts underlying standard analysis methods.
offered as"
epom,407,engineering economics and financial analysis,3,"in this course, money and profit as measures of ""goodness"" in engineering design are studied.  methods for economic analysis of capital investments are developed and the financial evaluation of machinery, manufacturing processes, buildings, r&d, personnel development, and other long-lived investments is emphasized.  optimization methods and decision analysis techniques are examined to identify economically attractive alternatives.  basic concepts of cost accounting are also covered.  topics include: economics criteria for comparing projects: present worth, annual worth analysis; depreciation and taxation; retirement and replacement; effect of inflation and escalation on economic evaluations; case studies; use of optimization methods to evaluate many alternatives; decision analysis; accounting fundamentals: income and balance sheets; cost accounting.
offered as"
epom,409,master of engineering capstone project,3,"this is the capstone course for the master of engineering program providing students with the opportunity to integrate the program's topics through an intensive case study project. interdisciplinary teams are assigned a major engineering project that covers the stages from design concept through development to final manufacture, including business and engineering decision making to maximize market penetration.  topics also include safety, environmental issues, ethics, intellectual property, product liability and societal issues. recommended preparation:"
epom,410,intellectual property management and opportunity assessment,3,"the goal of this course is to address issues relating to the commercialization of scientific inventions by exposing graduate students to the challenges and opportunities encountered when attempting to develop meaningful intellectual property from the point of early discovery to the clinic and market.  specifically, this course seeks to provide students with the ability to value a given technological advance or invention holistically, focusing on issues that extend beyond scientific efficacy and include patient and practitioner value propositions, legal and intellectual property protection, business modeling, potential market impacts, market competition, and ethical, social, and healthcare practitioner acceptance.

these issues transcend disciplinary boundaries, requiring the integration of expertise in the fields of law, business, and biomedical research disciplines.   for instance, comprehending the intricacies involved in the evolution of an upstream product from the lab to the marketplace requires an understanding of intellectual property management, namely the identification of optimal appropriability mechanisms, constructing an intellectual property portfolio (e.g., patents, trademarks, and trade secrets), and leveraging this portfolio in a competitive fashion. an emphasis of this course is to help students understand that intellectual property strategy is business strategy, and that ip is a strategic business asset that can be leveraged to create value and intellectual asset formation in the marketplace."
epom,411,"innovation - the confluence of need, requirements and creativity",3,"innovation - the confluence of need, requirements and creativity:  the purpose of this course is to familiarize students with tools and methods of facilitation necessary to move from a simple idea, to a validated development concept with commercial potential.  drawing from fundamentals of a range of programs, including stanford's biodesign, lean launch, requirements by design and others, the course will lead students through the process of developing detailed perspectives on unmet need, validated design requirements, intellectual property analysis and commercialization fundamentals."
epom,412,technology transfer and collaboration,3,"the overall goal of this course is to address the process of technology transfer. the course will build on an understanding of ip management and commercialization activities that follow a new discovery, and examine specific approaches to commercializing technology through the process of technology transfer both in the context of academic research and industry research and development. an overview of the drivers governing relevant industry standards will be discussed, along with specific tools that include sponsored research, licensing, and startup formation. the course will include hands-on assessments of two case studies that present applications of law and policy in the context of collaborative technology development, where each student team will provide a critique and overview of how they would handle the circumstances of the given case.
prereq:"
epom,413,"innovation, strategy & leadership: contemporary approach to future growth",3,"the overall goal of this course is to address the process of innovating in an enterprise context. outside of the enterprise, global shifts, economic developments and technological evolutions all present opportunities and challenges for innovation-based organizations. inside the enterprise, company culture, acceptable risk/reward profiles and strategic mindsets will all influence the effectiveness of valuable innovation.
 
building on an understanding of ip management and commercialization activities that follow a new discovery (see, e.g.,"
estd,101,introduction to environmental thinking,3,"critical comparison of scientific, historical, religious, and literary conceptions of nature. theories of environmental ethics, legal, and economic conceptions of environmental goods. current controversies concerning human population growth, energy use, the consumer society, and attitudes towards animals."
estd,202,global environmental problems,3,"global environmental problems is a course designed to provide students with an understanding of, and an appreciation for, human-influenced environmental changes that are global in scope.  accordingly, much of the material will focus on the nature and structure of natural global systems, how and where in those systems human influences occur, and will delve deeply into a few particular problems and solutions of current interest, such as population growth, climate change, ozone depletion, and fisheries, from a variety of viewpoints.
offered as"
estd,303,environmental law,3,"introduction to treatment of environmental issues in legal proceedings.  sources of environmental law, legal procedure, common law remedies (toxic torts and human health, nuisance, contract law), statutes and regulations, endangered species, public lands, toxics regulation, nuclear power, coal.  the course employs the case method of reading and recitation of appellate judicial opinions.  we read both classic cases in environmental law as well as current controversies.
offered as"
estd,318,people and planet,3,"in this course, we study the way in which the environment is a matter of politics.  our approach is philosophical, examining the concept of politics in light of how societies shape their environment on earth.  this elucidation's aim is practical.  we want to know not only what environmental politics is, but what we should do about it.  students from any major are welcome, without prerequisite.
offered as"
estd,382,"art, eco-criticism, and the environment",3,"as issues of sustainability and environmental impact have become increasingly dominant concerns in contemporary society, eco-criticism has emerged as a vital methodological thread across the humanities.  motivated by ethical as well as scholarly concerns, eco-criticism not only enacts a fundamental examination of nature as an ideological construct, but also seeks to investigate the complex interrelationship between humanity and the environment.  concurrently, there has been a marked interest in studying the role of ""green issues"" in contemporary art, particularly in tracing the development of earth art or eco-art from the early 1970s to the present.  the goal of this seminar is to forge a link between these two emergent strands by tracing the complex relationship between art and the environment from the nineteenth-century to the present, seeking to thereby assess the capaciousness of eco-criticism as a methodological approach to art history.
offered as"
